id,name,score,datetime_added
113,Dandy Grinner,0.01,1715935865
114,Dandy Grinner,0.09156129348808992,1715938541
115,Dinky Noodler,0.01,1715939202
116,Dinky Squeezywhey,1.01,1715939785
117,Dandy Grinner,1.0894876112729353,1715939809
118,Dandy Grinner,0.010651103364027272,1715939979
119,Dandy Grinner,0.01,1715939998
120,Dandy Grinner,0.01,1715940010
121,Dinky Noodler,0.01,1715940029
122,Breezy Snickerbyte,0.25560175472877045,1715940030
123,Cheeky Snickerbyte,0.027920355059970932,1715940396
124,Dandy Grinner,0.12678114809658067,1715940416
125,Dandy Grinner,0.01,1718353912
126,Dandy Grinner,0.01,1718448686
127,friedrich,2.0050073558201853,1718450460
128,friedrich,0.01,1718450551
129,friedrich,1.3697118332386373,1718453215
130,friedrich,0.04340819696678867,1718453763
131,karli,0.01,1718454289
132,Fluffy Gigglebop,0.01,1718456566
133,Dandy Grinner,0.010045979394670484,1718719374
134,Dandy Grinner,0.01,1718719424
135,Dandy Grinner,0.01,1718719571
136,Dinky Gigglebop,0.01,1718790889
137,Nils Morbach,0.0332394001130141,1719571047
138,Cozy Snicker,0.4035682247660225,1719571927
139,aspissin,0.015589702416860182,1719572121
140,Cozy Snicker,0.47578275222939187,1719573880
141,Cozy Snicker,0.04639272170455609,1719574338
142,Cozy Snicker,0.06244429183061709,1719575192
143,aspissin,0.04872870321484916,1719576000
144,Cozy Snicker,0.5868173471855304,1719576050
145,Jolly Cheerychomp,2.392004783858656,1719578627
146,Jolly Cheerychomp,2.3754338862978694,1719579485
147,Jolly Cheerychomp,0.0415787546292181,1719581891
148,aspissin,0.027625826735150023,1719582208
149,Dandy Grinner,0.6578407788224364,1719583323
150,aspissin,0.055561292464737594,1719584171
151,Dandy Grinner,0.018377231859430257,1719588756
152,Dandy Grinner,1.1423169210215252,1719589404
153,Dandy Grinner,0.1844225752000172,1719589924
154,Dandy Grinner,2.2986482700895543,1719590472
155,Dandy Grinner,0.016222218347849846,1719590825
156,aspissin,2.6345301122742413,1719591018
157,aspissin,0.012160060580508015,1719591095
158,aspissin,0.01083548161909198,1719591133
159,Dandy Grinner,0.025709724906966686,1719591265
160,Dandy Grinner,0.02172766645187254,1719591455
161,Dandy Grinner,0.01,1719591523
162,aspissin,12.01,1719591835
163,Dandy Grinner,0.018540117631974794,1719591867
164,aspissin,0.2485308176842358,1719592011
165,Dandy Grinner,9.01,1719592301
166,Jolly Cheerychomp,0.010396094695327469,1719592810
167,aspissin,32.01,1719593008
168,Jolly Cheerychomp,0.010020501477009471,1719593255
169,Jolly Cheerychomp,0.01,1719593281
170,Jolly Cheerychomp,4.01,1719593771
171,Jolly Cheerychomp,0.010239037802208875,1719594236
172,Jolly Cheerychomp,0.22063766365337872,1719594755
173,Jolly Cheerychomp,6.229482143326782,1719595766
174,Jolly Cheerychomp,19.131999302341384,1719596334
175,Jolly Cheerychomp,26.002748446895367,1719597208
176,Jolly Cheerychomp,0.01,1719597388
177,Jolly Cheerychomp,35.01,1719597942
178,Jolly Cheerychomp,1.2339054779422303,1719598799
179,Fuzzy Bumblejoy,0.021262795830381848,1719599450
180,Fuzzy Bumblejoy,39.01,1719599966
181,M & N ,0.01,1719601883
182,M & N ,44.01,1719602452
183,aspissin,0.42899245255272456,1719603560
184,aspissin,0.010841422080423041,1719603690
185,aspissin,0.010279788235982693,1719603914
186,aspissin,0.10917315643252622,1719605075
187,aspissin,0.09812302956849925,1719606022
188,aspissin,0.010074328009859497,1719606052
189,aspissin,0.019298511814303206,1719606652
190,Martha,2.257872445461298,1719646821
191,Martha,58.01,1719647729
192,Dandy Grinner,0.01,1719664468
193,Dandy Grinner,0.01,1719664979
194,aspissin,1.4153671516835362,1719818833
195,aspissin,0.2814826606831606,1719819983
196,aspissin,0.018179298948155828,1719821051
197,aspissin,0.8344416927148589,1719822374
198,Peppy Giggleblitz,0.01,1719929395
199,Seba,0.01,1719929866
200,Dandy Grinner,0.01,1719930447
201,Seba,0.01,1719930978
202,Seba,0.010161242277885873,1719931137
203,Seba,0.016188335135201678,1719931475
204,Seba,0.014011765629410113,1719931662
205,Laura,0.086598899273217,1719931981
206,Seba,20.01,1719932712
207,aspissin,0.08536237138454407,1719934667
208,Seba,0.011385015943994716,1719934848
209,Seba,0.01039722336703918,1719934972
210,Seba,0.012007623432031815,1719935095
211,aspissin,0.06171768216963846,1719935424
212,Seba,0.04009204270093387,1719936556
213,aspissin,0.09484171074219618,1719936568
214,aspissin,0.01028126443390235,1719936690
215,Sdeutsc,4.277192634243122,1719939023
216,Sdeutsc,43.01,1719940815
217,aspissin,0.01746801416440503,1719941346
218,Laura,0.4897926609758635,1719942572
219,Sdeutsc,49.01,1719943048
220,Sdeutsc,60.01,1719945525
221,aspissin,0.011924234343257878,1719945888
222,Sdeutsc,0.12476973092422274,1719947273
223,Nilspferd,0.01,1720005141
224,Nilspferd,0.01,1720005691
225,Nilspferd,0.01,1720005794
226,Nilspferd,48.01,1720006344
227,Nilspferd,0.01,1720035714
228,Nilspferd,55.01,1720036350
229,Nilspferd,0.01,1720036920
230,Nilspferd,56.01,1720037643
231,Nilspferd,52.01,1720038390
232,Nilspferd,71.01,1720039106
233,sdeutsc,0.01,1720144882
234,sdeutsc,0.01,1720144992
235,sdeutsc,45.01,1720146330
236,sdeutsc,0.2430458907281858,1720164503
237,sdeutsc,0.01,1720168903
238,sdeutsc,60.01,1720169662
239,sdeutsc,0.01,1720170173
240,sdeutsc,0.01,1720170604
241,sdeutsc,0.01,1720170708
242,Bouncy Grinner,0.01,1720181813
243,Bouncy Grinner,0.01,1720183043
244,Dandy Grinner,0.010224096847768458,1720379839
245,Dandy Grinner,4.01,1721380302
246,Dandy Grinner,0.01,1722699237
247,Dandy Grinner,0.01,1726657229
248,Dandy Sparcler,0.01,1726657591
249,Dandy Sparcler,1.3504273990237083,1726658540
250,Dandy Grinner,0.01,1726662097
251,Dandy Grinner,0.2229704628635882,1726671837
252,Dandy Grinner,4.01,1726673749
253,Dandy Grinner,0.01,1726683231
254,Dandy Grinner,0.01,1726683617
255,Silly Teehee,0.06427466862751782,1726685154
256,Waldrauth,0.01,1726686238
257,Waldrauth,0.38592207914372917,1726687835
258,Waldrauth,3.4057611818087645,1726691581
259,Spunky Zigzagzoo,0.01,1727175292
